pl_name,pl_rade,st_teff,st_rad,st_mass
GJ 9827 c,1.13,4236.0,0.58,0.62
GJ 9827 d,1.98,4236.0,0.58,0.62
KELT-20 b,19.514869,8720.0,1.565,1.76
NGTS-1 b,14.90797,3916.0,0.573,0.617
K2-136 b,1.014,4500.0,0.677,0.742
K2-136 c,3.0,4500.0,0.677,0.742
K2-136 d,1.565,4500.0,0.677,0.742
K2-139 b,9.11,5370.0,0.88,0.96
Kepler-80 g,1.13,4540.0,0.678,0.83
Kepler-90 i,1.32,6015.0,1.29,1.12
Kepler-500 b,2.58,5813.0,1.03,1.02
K2-140 b,13.56286665,5585.0,1.06,0.96
HATS-50 b,12.66617,5990.0,1.117,1.168
HATS-51 b,15.80469,5758.0,1.44,1.187
HATS-52 b,15.490838,6010.0,1.046,1.111
HATS-53 b,15.02006,5644.0,1.101,0.964
K2-138 b,1.51,5356.3,0.863,0.935
K2-138 c,2.299,5356.3,0.863,0.935
K2-138 d,2.39,5356.3,0.863,0.935
Kepler-775 b,1.19,5468.0,0.84,0.92
K2-138 e,3.39,5356.3,0.863,0.935
K2-138 f,2.904,5356.3,0.863,0.935
KELT-19 A b,21.40919,7500.0,1.83,1.62
K2-141 b,1.51,4570.0,0.681,0.708
K2-141 c,7.0,4570.0,0.681,0.708
K2-147 b,1.47286006,3690.0,0.578,0.563
K2-148 b,1.33,4079.0,0.632,0.65
Kepler-776 b,1.28,5071.0,0.78,0.83
K2-148 c,1.73,4079.0,0.632,0.65
K2-148 d,1.64,4079.0,0.632,0.65
K2-149 b,1.64,3745.0,0.568,0.595
K2-150 b,2.0,3499.0,0.436,0.457
K2-152 b,2.29,4044.0,0.61,0.63
K2-153 b,2.0,3845.0,0.53,0.55
K2-154 b,1.99,4097.0,0.63,0.65
K2-154 c,2.07,4097.0,0.63,0.65
K2-155 b,1.8,4258.0,0.58,0.65
K2-155 c,2.6,4258.0,0.58,0.65
K2-155 d,1.9,4258.0,0.58,0.65
KELT-21 b,17.777474,7598.0,1.638,1.458
Kepler-1654 b,9.180171,5597.0,1.179,1.011
K2-232 b,11.209,6154.0,1.161,1.188
K2-231 b,2.5,5695.0,0.95,1.01
HATS-39 b,17.59813,6572.0,1.621,1.379
HATS-40 b,17.71022,6460.0,2.26,1.561
HATS-41 b,14.90797,6424.0,1.71,1.496
HATS-42 b,15.6926,6060.0,1.48,1.273
KPS-1 b,11.54527,5165.0,0.907,0.892
K2-233 b,1.315,4796.0,0.71,0.79
K2-233 c,1.272,4796.0,0.71,0.79
K2-233 d,2.363,4796.0,0.71,0.79
HATS-43 b,13.22662,5099.0,0.812,0.837
HATS-44 b,11.960003,5080.0,0.847,0.86
HATS-45 b,14.414774,6450.0,1.315,1.272
HATS-46 b,10.121727,5495.0,0.853,0.917
HATS-7 b,6.310667,4985.0,0.815,0.849
NGTS-3 A b,16.58932,5600.0,0.93,1.017
HD 89345 b,7.39794,5576.0,1.747,1.157
K2-239 b,1.1,3420.0,0.36,0.4
K2-239 d,1.1,3420.0,0.36,0.4
K2-240 b,2.0,3810.0,0.54,0.58
K2-240 c,1.8,3810.0,0.54,0.58
K2-237 b,16.06246934,6180.0,1.236,1.256
K2-238 b,14.5717,5630.0,1.59,1.19
K2-241 b,2.55,5262.0,0.75,0.71
K2-242 b,2.54,3459.0,0.37,0.38
K2-158 c,1.28,5503.0,0.95,0.92
K2-243 b,2.17,6570.0,1.39,1.29
K2-243 c,2.01,6570.0,1.39,1.29
K2-245 b,4.34,5793.0,1.25,0.83
K2-246 b,3.49,5610.0,0.94,0.87
K2-247 b,2.12,4667.0,0.69,0.74
K2-247 c,2.19,4667.0,0.69,0.74
K2-248 b,2.57,5528.0,0.92,0.88
K2-249 b,2.79,6504.0,1.57,1.32
K2-250 b,2.71257333,5003.0,0.797,0.809
K2-251 b,2.35,3717.0,0.49,0.52
K2-252 b,1.74,5152.0,0.82,0.79
K2-253 b,12.67,6027.0,1.1,1.08
K2-254 b,1.63,4629.0,0.67,0.71
K2-254 c,2.19,4629.0,0.67,0.71
K2-255 b,2.9,4676.0,0.69,0.71
K2-258 b,3.0,6351.0,1.31,1.21
Kepler-128 b,1.421,6072.0,1.659,1.184
K2-260 b,18.41635529,6860.0,1.755,1.637
K2-261 b,9.26982704,5490.0,1.663,1.107
WASP-174 b,16.10730527,6399.0,1.347,1.24
Wolf 503 b,2.043,4716.0,0.689,0.688
K2-264 b,2.231,3660.0,0.473,0.496
K2-264 c,2.668,3660.0,0.473,0.496
NGTS-2 b,17.878355,6478.0,1.702,1.64
EPIC 246851721 b,11.780659,6202.0,1.586,1.317
K2-266 b,3.3,4285.0,0.703,0.686
K2-266 d,2.93,4285.0,0.703,0.686
K2-266 e,2.73,4285.0,0.703,0.686
K2-268 b,1.5,5106.0,0.78,0.84
WASP-144 b,9.52765,5200.0,0.81,0.81
WASP-145 A b,10.0881,4900.0,0.68,0.76
WASP-158 b,11.99363,6350.0,1.39,1.38
WASP-159 b,15.46842,6120.0,2.11,1.41
WASP-162 b,11.209,5300.0,1.11,0.95
WASP-168 b,16.8135,6000.0,1.12,1.08
WASP-172 b,17.59813,6900.0,1.91,1.49
WASP-173 A b,13.4508,5800.0,1.11,1.05
WASP-147 b,12.498035,5702.0,1.429,1.044
WASP-160 B b,12.21781,5298.0,0.868,0.87
WASP-164 b,12.643752,5806.0,0.932,0.946
WASP-165 b,14.12334,5599.0,1.75,1.248
Kepler-777 b,1.47,4043.0,0.56,0.58
pi Men c,2.0189,5998.0,1.17,1.07
K2-284 b,2.78,4140.0,0.607,0.63
Kepler-778 b,1.68,5102.0,0.77,0.81
HATS-59 b,12.621334,5670.0,1.036,1.038
LHS 1140 c,1.272,3096.0,0.2159,0.1844
CoRoT-21 b,14.5717,6200.0,1.95,1.29
WASP-161 b,12.811887,6400.0,1.712,1.39
WASP-163 b,13.473218,5500.0,1.015,0.97
WASP-170 b,12.285064,5600.0,0.938,0.93
K2-285 b,2.59,4975.0,0.787,0.83
K2-285 c,3.53,4975.0,0.787,0.83
K2-285 d,2.48,4975.0,0.787,0.83
K2-285 e,1.95,4975.0,0.787,0.83
K2-286 b,2.1,3926.0,0.62,0.64
K2-287 b,9.494023,5695.0,1.07,1.056
K2-288 B b,1.9,3341.0,0.32,0.33
HATS-60 b,12.923977,5688.0,1.46,1.097
HATS-61 b,13.394755,5542.0,1.664,1.076
HATS-62 b,11.825495,5416.0,0.933,0.896
HATS-63 b,13.529263,5627.0,1.07,0.931
HATS-64 b,18.819911,6554.0,2.113,1.564
HATS-65 b,16.824709,6277.0,1.31,1.257
HATS-66 b,15.815899,6626.0,1.841,1.411
HATS-67 b,18.887165,6594.0,1.441,1.435
HATS-68 b,13.809488,6147.0,1.748,1.351
HATS-69 b,10.592505,5137.0,0.8785,0.892
K2-290 b,3.06,6302.0,1.511,1.194
K2-290 c,11.276254,6302.0,1.511,1.194
K2-291 b,1.589,5520.0,0.899,0.934
LHS 3844 b,1.286,3080.0,0.189,0.151
HD 202772 A b,17.317905,6272.0,2.591,1.72
K2-292 b,2.63,5725.0,1.09,1.0
HATS-70 b,15.513256,7930.0,1.881,1.78
Kepler-499 b,2.17,5312.0,0.83,0.87
GJ 143 b,2.61,4640.0,0.695,0.73
HD 23472 b,2.0,4684.0,0.71,0.67
HD 23472 c,1.87,4684.0,0.71,0.67
HD 219666 b,4.898,5540.0,1.059,1.02
HD 1397 b,11.500434,5521.0,2.336,1.324
WASP-190 b,12.89035,6400.0,1.6,1.35
Qatar-7 b,19.0553,6387.0,1.564,1.409
TOI-172 b,10.816685,5645.0,1.777,1.128
K2-293 b,2.45,5532.0,0.947,0.958
K2-294 b,1.66,5612.0,1.2,0.987
HD 221416 b,9.17,5080.0,2.943,1.212
WASP-177 b,17.71022,5017.0,0.885,0.876
WASP-181 b,13.271456,5839.0,0.965,1.04
WASP-183 b,16.47723,5313.0,0.871,0.784
Qatar-8 b,14.403565,5738.0,1.315,1.029
Qatar-9 b,11.309881,4309.0,0.696,0.719
Qatar-10 b,17.295487,6124.0,1.254,1.156
NGTS-5 b,12.733424,4987.0,0.739,0.661
Kepler-271 b,1.23,5555.0,0.87,0.9
Kepler-418 c,5.22108654,5822.0,1.081,0.957
HD 15337 b,1.77,5131.0,0.855,0.829
HD 15337 c,2.526,5131.0,0.855,0.829
NGTS-4 b,3.18,5143.0,0.84,0.75
K2-133 e,1.73,3655.0,0.455,0.461
K2-32 e,1.212,5271.0,0.86,0.83
EPIC 201841433 b,1.04,5053.0,0.628461,0.802
EPIC 205950854 c,1.31,5502.7,0.83,0.877
EPIC 212297394 b,1.48,5171.0,0.8,0.83
Kepler-407 b,1.19,5487.0,1.04,0.99
EPIC 212587672 b,1.26,6004.0,0.98,0.99
L 98-59 c,1.329,3415.0,0.3155,0.2923
L 98-59 d,1.627,3415.0,0.3155,0.2923
K2-308 b,9.916,6100.0,1.24,1.09
HD 2685 b,16.14096,6801.0,1.56,1.43
Kepler-851 b,1.68,5455.0,0.85,0.89
TOI-150.01,14.067295,6255.0,1.526,1.351
KELT-23 A b,14.829507,5899.0,0.996,0.944
V1298 Tau b,9.41,4970.0,1.32,1.1
WASP-87 b,15.524465,6450.0,1.627,1.204
Kepler-850 b,1.78,5932.0,1.09,1.06
DS Tuc A b,5.7,5428.0,0.964,1.01
EPIC 248847494 b,12.44199,4898.0,2.7,0.9
EPIC 212737443 c,2.69,4684.0,0.673,0.69
WASP-166 b,7.06167,6050.0,1.22,1.19
Kepler-476 b,3.08,5837.0,1.09,1.03
Kepler-849 b,8.08167508,5950.0,1.822,1.259
HR 858 b,2.004,6354.0,1.258,1.204
HR 858 c,1.979,6354.0,1.258,1.204
HR 858 d,2.001,6354.0,1.258,1.204
TOI-270 b,1.28,3506.0,0.38,0.386
TOI-270 c,2.33,3506.0,0.38,0.386
TOI-270 d,2.0,3506.0,0.38,0.386
GJ 357 b,1.2,3505.0,0.337,0.342
Kepler-848 b,1.7,5695.0,1.2,1.01
K2-43 c,2.42,3840.6,0.542,0.571
K2-146 c,2.19,3385.0,0.33,0.331
HAT-P-69 b,18.786284,7394.0,1.926,1.648
HAT-P-70 b,20.96083,8450.0,1.858,1.89
HATS-54 b,11.37711541,5621.0,1.23,1.05
HATS-55 b,14.022459,6214.0,1.126,1.1955
HATS-56 b,18.920792,6536.0,2.201,1.573
HATS-57 b,12.767051,5587.0,0.96,1.026
HATS-58 A b,12.273855,7175.0,1.433,1.461
Kepler-1751 b,1.82417378,6052.0,0.967,0.974
WASP-169 b,14.616536,6110.0,2.011,1.337
WASP-171 b,10.98482,5965.0,1.637,1.171
WASP-175 b,13.540472,6229.0,1.204,1.212
WASP-182 b,9.52765,5638.0,1.34,1.076
KELT-24 b,12.71098411,6426.0,1.338,1.268
NGTS-6 b,14.863134,4730.0,0.754,0.767
WASP-180 A b,13.89916,6600.0,1.19,1.3
WASP-178 b,20.28829,9360.0,1.67,2.07
WASP-184 b,14.90797,6000.0,1.65,1.23
WASP-185 b,14.01125,5900.0,1.5,1.12
WASP-192 b,13.78707,5910.0,1.32,1.09
Kepler-847 b,1.18,4940.0,0.77,0.83
V1298 Tau c,5.08,4970.0,1.32,1.1
V1298 Tau d,6.53,4970.0,1.32,1.1
V1298 Tau e,10.17,4970.0,1.32,1.1
LP 791-18 b,1.212,2960.0,0.182,0.139
LP 791-18 c,2.488,2960.0,0.182,0.139
TOI-163 b,16.690201,6495.0,1.648,1.4352
Kepler-846 b,2.48,5579.0,0.91,0.94
TOI-125 b,2.726,5320.0,0.848,0.859
TOI-125 c,2.759,5320.0,0.848,0.859
NGTS-8 b,12.21781,5241.0,0.98,0.89
NGTS-9 b,11.99363,6330.0,1.38,1.34
Qatar-6 b,11.903958,5052.0,0.722,0.822
HD 213885 b,1.745,5978.0,1.1011,1.068
XO-7 b,15.389957,6250.0,1.48,1.405
TOI-813 b,6.71,5907.0,1.94,1.32
GJ 1252 b,1.193,3458.0,0.391,0.381
EPIC 249893012 b,1.95,5430.0,1.71,1.05
EPIC 249893012 c,3.67,5430.0,1.71,1.05
EPIC 249893012 d,3.94,5430.0,1.71,1.05
L 168-9 b,1.63,3842.0,0.604,0.614
TOI-125 d,2.93,5320.0,0.848,0.859
Kepler-1661 b,3.87,5100.0,0.762,0.841
TOI-132 b,3.42,5397.0,0.9,0.97
Kepler-95 b,3.42,5699.0,1.41,1.08
Kepler-1750 b,6.00434637,5644.0,0.969,0.981
HATS-47 b,12.520453,4512.0,0.6564,0.674
HATS-48 A b,8.9672,4546.0,0.7152,0.7279
HATS-49 b,8.574885,4405.0,0.6977,0.7133
HATS-72 b,8.0973816,4656.1,0.7214,0.7311
NGTS-10 b,13.506845,4600.0,0.697,0.696
Kepler-845 b,2.04,4913.0,0.75,0.79
MASCARA-4 b,16.98160576,7800.0,1.79,1.75
LHS 1815 b,1.088,3643.0,0.501,0.502
TOI-1130 b,3.66,4360.0,0.697,0.745
TOI-1130 c,13.0,4360.0,0.697,0.745
Kepler-844 b,1.68,4128.0,0.57,0.59
CoRoT-30 b,11.309881,5650.0,0.91,0.98
CoRoT-31 b,16.36514,5700.0,2.15,1.25
TOI-677 b,13.11450742,6295.0,1.28,1.181
WASP-150 b,11.99363,6218.0,1.651,1.394
WASP-176 b,16.869545,5941.0,1.925,1.345
HD 332231 b,9.07303305,6128.0,1.266,1.1642
LTT 3780 b,1.325,3358.0,0.38,0.381
LTT 3780 c,2.39,3358.0,0.38,0.381
TOI-1235 b,1.69,3997.0,0.619,0.63
AU Mic b,4.79,3540.0,0.862,0.635
Kepler-843 b,2.59,5830.0,1.03,1.02
WASP-148 b,8.47398941,5555.0,0.912,0.954
TOI-1728 b,5.05,3980.0,0.6243,0.646
NGTS-11 b,9.157753,5050.0,0.832,0.862
TOI-849 b,3.64,5257.0,0.97,0.97
Kepler-842 b,1.6,4848.0,0.73,0.78
Wendelstein-1 b,11.5609626,4251.0,0.61,0.65
Wendelstein-2 b,12.9934728,4591.0,0.66,0.73
HD 95338 b,4.27174254,5097.0,0.868,0.848
HD 191939 b,3.41,5348.0,0.94,0.81
HD 191939 c,3.195,5348.0,0.94,0.81
HD 191939 d,2.995,5348.0,0.94,0.81
TOI-700 c,2.6,3459.0,0.421,0.415
TOI-700 d,1.073,3459.0,0.421,0.415
Kepler-841 b,5.23,5324.0,0.81,0.85
HIP 67522 b,9.9872018,5675.0,1.38,1.22
TOI-1899 b,11.09689089,3926.0,0.607,0.632
HIP 65 A b,22.75427,4590.0,0.7242,0.781
TOI-157 b,14.414774,5404.0,1.167,0.948
TOI-169 b,12.172974,5880.0,1.288,1.147
HATS-37 A b,6.792654,5326.0,0.877,0.843
HATS-38 b,6.882326,5732.0,1.105,0.89
HD 86226 c,2.16,5863.0,1.053,1.019
Kepler-296 c,2.0,3740.0,0.48,0.498
K2-316 b,1.33,3436.0,0.379,0.408
K2-316 c,1.83,3436.0,0.379,0.408
K2-317 b,2.93,3387.0,0.379,0.403
K2-318 b,1.66,3851.0,0.552,0.561
K2-319 b,2.79,5440.0,0.898,0.954
K2-320 b,2.62,3157.0,0.3,0.117
K2-321 b,2.05124347,3750.0,0.595,0.578
K2-322 b,1.92,4141.0,0.602,0.63
K2-323 b,2.1,3710.0,0.549,0.478
K2-324 b,2.43,3752.0,0.505,0.517
K2-325 b,2.2,3287.0,0.298,0.274
K2-326 b,2.28,3924.0,0.688,0.507
WD 1856+534 b,10.4,4710.0,0.0131,0.518
LTT 9779 b,4.72,5443.0,0.949,1.02
HD 63433 b,2.14,5553.0,0.934,0.956
HD 63433 c,2.692,5553.0,0.934,0.956
TOI-763 b,2.28,5450.0,0.897,0.917
Kepler-77 b,10.761,5520.0,0.99,0.95
TOI-763 c,2.63,5450.0,0.897,0.917
HATS-71 b,11.478016,3405.0,0.4783,0.4861
TOI-824 b,2.926,4600.0,0.695,0.71
TOI-1266 b,2.52,3563.0,0.4232,0.437
TOI-1266 c,1.98,3563.0,0.4232,0.437
TOI-421 b,2.64,5291.0,0.866,0.833
TOI-421 c,5.09,5291.0,0.866,0.833
NGTS-12 b,11.747032,5690.0,1.589,1.021
GJ 3473 b,1.264,3347.0,0.364,0.36
TOI-837 b,9.16894621,5995.0,1.052,1.142
EPIC 201170410.02,1.047,3648.0,0.282,0.287
TOI-954 b,9.550068,5710.0,1.892,1.201
K2-329 b,8.675766,5282.0,0.822,0.901
TOI-481 b,11.09691,5735.0,1.66,1.14
TOI-892 b,11.99363,6261.0,1.39,1.28
TIC 237913194 b,12.520453,5788.0,1.088,1.026
TOI-122 b,2.72,3403.0,0.334,0.312
TOI-237 b,1.44,3212.0,0.211,0.179
WASP-186 b,12.44199,6361.0,1.47,1.22
WASP-187 b,18.38276,6150.0,2.83,1.54
LP 714-47 b,4.7,3950.0,0.584,0.59
TOI-251 b,2.74,5875.0,0.881,1.036
HAT-P-68 b,12.016048,4508.0,0.6701,0.6785
TOI-776 b,1.798,3725.0,0.547,0.542
TOI-776 c,2.047,3725.0,0.547,0.542
HD 108236 b,1.615,5660.0,0.877,0.869
HD 108236 c,2.071,5660.0,0.877,0.869
TOI-1233.01,2.539,5660.0,0.877,0.869
HD 108236 e,3.083,5660.0,0.877,0.869
TOI-564 b,11.43318,5640.0,1.088,0.998
TOI-905 b,13.125739,5570.0,0.918,0.968
TOI-451 b,1.84,5490.0,0.85,0.93
TOI-451 c,2.93,5490.0,0.85,0.93
TOI-451 d,3.93,5490.0,0.85,0.93
HD 108236 f,2.017,5660.0,0.877,0.869
NGTS-13 b,12.800678,5819.0,1.788,1.3
HD 110113 b,2.05,5732.0,0.968,0.997
TOI-178 b,1.2,4316.0,0.662,0.647
TOI-178 c,1.754,4316.0,0.662,0.647
TOI-178 d,2.695,4316.0,0.662,0.647
TOI-178 e,2.301,4316.0,0.662,0.647
TOI-178 f,2.417,4316.0,0.662,0.647
TOI-178 g,2.939,4316.0,0.662,0.647
Kepler-839 b,2.57,6058.0,1.31,1.22
HD 183579 b,3.49,5784.0,0.96,0.996
NGTS-14 A b,4.976796,5187.0,0.842,0.898
HD 110082 b,3.2,6200.0,1.19,1.21
K2-138 g,3.013,5356.3,0.863,0.935
TOI-628 b,11.88154,6250.0,1.345,1.311
TOI-640 b,19.2794468,6460.0,2.082,1.536
TOI-1333 b,15.647764,6274.0,1.925,1.464
TOI-1601 b,14.19902343,5982.0,2.195,1.5055
GJ 486 b,1.289,3317.0,0.3243,0.312
GJ 414 A b,2.63,4120.0,0.68,0.65
GJ 414 A c,8.4,4120.0,0.68,0.65
Kepler-838 b,2.73,5770.0,0.96,0.98
TOI-519 b,11.54525012,3322.0,0.35,0.335
NGTS-15 b,12.32987877,5600.0,0.954,0.995
NGTS-16 b,14.57167491,5550.0,1.213,1.002
NGTS-17 b,13.89913607,5650.0,1.337,1.025
NGTS-18 b,13.56286665,5610.0,1.392,1.003
LHS 1478 b,1.242,3381.0,0.246,0.236
TOI-257 b,7.16253867,6095.0,1.867,1.407
HD 5278 b,2.45,6203.0,1.194,1.126
Kepler-106 c,2.5,5858.0,1.04,1.0
Kepler-837 b,2.56,5403.0,0.81,0.85
TOI-269 b,2.77,3514.0,0.398,0.3917
CFHTWIR-Oph 98 b,20.8487041,2320.0,0.245,0.0147
TOI-220 b,3.03,5298.0,0.858,0.825
TOI-1444 b,1.41792246,5460.0,0.9105,0.9513
Kepler-1749 b,1.61301783,3957.0,0.553,0.551
TOI-1231 b,3.65,3553.0,0.476,0.485
HD 152843 b,3.05,6310.0,1.43,1.15
HD 152843 c,5.94,6310.0,1.43,1.15
Kepler-836 b,2.73,5895.0,1.04,1.03
WASP-110 b,13.19297028,5392.0,0.853,0.814
TOI-674 b,5.25,3514.0,0.42,0.42
TOI-1685 b,1.421,3470.0,0.462,0.466
TOI-1260 b,2.41,4227.0,0.672,0.679
Kepler-835 b,2.79,5954.0,1.11,1.08
TOI-1260 c,2.76,4227.0,0.672,0.679
TOI-1634 b,1.759,3550.0,0.45,0.502
TOI-1259 A b,11.45557828,4775.0,0.711,0.744
TOI-1807 b,1.49681583,4914.0,0.746,0.8048
Kepler-834 b,2.02,4554.0,0.66,0.7
HAT-P-58 b,14.93036229,6078.0,1.53,1.031
HAT-P-59 b,12.58768533,5678.0,1.1038,1.008
HAT-P-60 b,18.28184752,6212.0,2.197,1.435
HAT-P-61 b,10.07687365,5587.0,0.938,1.004
HAT-P-62 b,12.02723629,5629.0,1.17,1.023
HAT-P-63 b,12.5428494,5400.0,0.9661,0.925
HAT-P-64 b,19.08889413,6457.0,1.735,1.298
TOI-1749 b,1.39,3985.0,0.55,0.58
TOI-1749 c,2.12,3985.0,0.55,0.58
Kepler-833 b,2.02,4339.0,0.62,0.64
TOI-1749 d,2.52,3985.0,0.55,0.58
TOI-1062 b,2.265,5328.0,0.84,0.94
TOI-1278 b,12.21778896,3799.0,0.573,0.54
Kepler-832 b,2.06,5596.0,0.9,0.92
AU Mic c,2.79,3540.0,0.862,0.635
TOI-2406 b,2.86,3100.0,0.204,0.166
TOI-532 b,5.82,3927.0,0.612,0.639
TOI-431 b,1.28,4850.0,0.731,0.78
TOI-431 d,3.29,4850.0,0.731,0.78
COCONUTS-2 b,12.44196858,3406.0,0.388,0.37
TOI-2202 b,10.95117414,5169.0,0.808,0.841
K2-331 b,1.79,5994.0,1.06,1.1
K2-350 b,1.54,5789.0,1.04,0.98
K2-352 b,1.37,5791.0,0.95,0.98
K2-353 b,5.55,5698.0,0.99,0.87
TOI-1518 b,21.05046575,7299.0,1.942,1.88
TIC 172900988 b,11.25,6050.0,1.3842,1.2384
K2-355 b,2.25,5790.0,0.92,0.96
K2-356 b,2.29,5568.0,0.86,0.9
K2-357 b,3.72,5794.0,1.0,0.98
K2-358 b,2.68,5650.0,0.91,0.93
TOI-1201 b,2.415,3476.0,0.508,0.512
GPX-1 b,16.47720163,7000.0,1.56,1.68
TOI-558 b,12.17295304,6466.0,1.496,1.349
TOI-559 b,12.22899794,5925.0,1.233,1.026
TIC 257060897 b,17.26183028,5993.0,1.863,1.187
TOI-1431 b,16.70138124,7690.0,1.92,1.9
TOI-530 b,9.30345398,3659.0,0.54,0.53
Kepler-1748 b,2.71275017,5774.0,0.864,0.916
TOI-1789 b,16.14093221,5991.0,2.168,1.507
TOI-1296 b,14.11645916,5567.0,1.7031,1.1576
TOI-1298 b,9.65807033,5752.0,1.4536,1.2187
HD 63935 b,2.91575244,5513.0,0.9598,0.9406
HD 63935 c,3.06451296,5513.0,0.9598,0.9406
TOI-3362 b,12.80065596,6532.0,1.83,1.445
TOI-2285 b,1.77,3491.0,0.464,0.454
HIP 97166 b,2.4801338,5216.0,0.8418,0.9342
Kepler-1747 b,4.26508,5477.0,0.865,0.983
TOI-2257 b,2.194,3430.0,0.313,0.328
HD 207897 b,2.34302132,5106.0,0.7827,0.8208
HD 137496 b,1.31,5799.0,1.59,1.04
K2-388 b,3.9,5310.0,0.91,0.93
K2-389 b,2.33,5773.0,1.094,0.99
K2-389 c,2.04,5782.0,1.084,0.802
K2-390 b,4.662,5558.0,0.966,0.789
K2-391 b,1.371,5543.0,0.566,0.757
K2-392 b,1.85,5726.0,1.058,0.841
Kepler-1990 b,3.27,5751.0,1.071,1.028
K2-370 b,3.207,5377.0,0.971,0.984
K2-395 b,2.597,5007.0,0.783,0.952
K2-395 c,3.395,5007.0,0.783,0.952
K2-396 b,1.579,5236.0,0.92,0.954
K2-397 b,2.417,5387.0,0.966,0.937
Kepler-826 b,1.25,6079.0,1.15,1.05
K2-398 b,2.274,5946.0,1.239,0.945
K2-398 c,5.098,5946.0,1.239,0.945
K2-400 b,1.163,3578.0,0.382,0.374
K2-401 b,2.262,4213.0,0.675,0.87
Kepler-825 b,1.53,5976.0,1.08,1.03
K2-402 b,2.678,5716.0,1.28,0.944
K2-403 b,5.333,5511.0,0.886,0.784
K2-404 b,2.53,3748.0,0.552,0.552
Kepler-824 b,1.87,6035.0,1.22,1.15
K2-405 b,4.569,4927.0,0.765,1.034
K2-406 b,4.602,5784.0,0.961,0.798
Kepler-823 b,1.57,5643.0,0.96,0.98
K2-407 b,1.283,5563.0,0.927,0.881
K2-407 c,1.36,5563.0,0.927,0.881
Kepler-822 b,1.77,5928.0,1.08,1.06
K2-408 b,1.677,5335.0,0.784,0.813
Kepler-821 b,1.31,5191.0,0.8,0.84
K2-409 b,2.482,5742.0,1.228,0.886
K2-374 b,1.593,5789.0,0.907,0.731
K2-374 c,2.213,5789.0,0.907,0.731
Kepler-58 b,2.78,5843.0,1.03,0.95
K2-376 b,1.736,5937.0,1.149,0.908
Kepler-498 b,3.03,5744.0,0.96,0.98
Kepler-820 b,6.09,6260.0,1.36,1.23
TOI-2109 b,15.098497,6540.0,1.698,1.453
TOI-1842 b,12.3485023,6039.0,2.032,1.4643
HATS-74 A b,11.56766808,3776.9,0.5758,0.601
HATS-75 b,9.90873894,3790.4,0.5848,0.6017
HATS-76 b,12.09449018,4016.0,0.6259,0.662
HATS-77 b,13.05846252,4071.0,0.6428,0.655
Kepler-1708 b,9.96,6157.0,1.117,1.088
Kepler-1705 c,2.05,6312.0,1.259,1.139
BD+60 1417 b,14.68376472,4993.0,0.797,1.0
TOI-2180 b,11.32107051,5695.0,1.636,1.111
LTT 1445 A c,1.147,3340.0,0.265,0.257
TOI-1064 b,2.587,4734.0,0.726,0.748
TOI-1064 c,2.651,4734.0,0.726,0.748
TOI-2184 b,11.39953337,5966.0,2.9,1.53
TOI-1268 b,9.1,5300.0,0.92,0.96
TOI-2337 b,10.08808263,4780.0,3.22,1.325
Kepler-819 b,2.76,5279.0,0.81,0.86
TOI-4329 b,16.81347105,6000.0,2.31,1.538
TOI-2669 b,19.72780603,4800.0,4.1,1.19
TOI-206 b,1.3,3383.0,0.35,0.35
TOI-500 b,1.166,4440.0,0.678,0.74
TOI-544 b,2.018,4169.0,0.623,0.631
TOI-833 b,1.27,3920.0,0.6,0.61
TOI-1075 b,1.791,3875.0,0.581,0.604
TOI-1411 b,1.19880592,4115.0,0.614,0.6045
TOI-1442 b,1.17,3330.0,0.31,0.29
TOI-1693 b,1.41,3499.0,0.46,0.49
TOI-1860 b,1.31,5752.0,0.94,0.99
TOI-2260 b,1.62,5534.0,0.94,0.99
TOI-2411 b,1.68,4099.0,0.68,0.65
TOI-2427 b,1.8,4072.0,0.65,0.64
TOI-2445 b,1.25,3333.0,0.27,0.25
GJ 3929 b,1.09,3384.0,0.32,0.313
TOI-1759 b,3.14,4065.0,0.597,0.606
K2-384 b,1.076,3623.0,0.348,0.33
K2-396 c,3.124,5236.0,0.92,0.954
WASP-189 b,18.14733975,8000.0,2.36,2.03
HD 73583 b,2.79,4511.0,0.65,0.73
HD 73583 c,2.39,4511.0,0.65,0.73
TOI-1670 b,2.06,6170.0,1.316,1.21
TOI-1670 c,11.06326395,6170.0,1.316,1.21
TOI-1227 b,9.57246952,3072.0,0.56,0.17
Kepler-818 b,5.11,5638.0,0.92,0.94
TOI-620 b,3.76,3708.0,0.55,0.577
Kepler-817 b,9.03,5861.0,1.03,1.03
TOI-1246 b,3.01,5151.0,0.86,0.87
TOI-1246 c,2.45109846,5213.0,0.8649,0.8889
TOI-1246 d,3.43139739,5213.0,0.8649,0.8889
TOI-1246 e,3.5141875,5213.0,0.8649,0.8889
TOI-1696 b,3.09,3185.0,0.2775,0.255
TOI-2136 b,2.19,3342.0,0.34,0.34
HIP 94235 b,3.0,5991.0,1.08,1.094
TOI-1710 b,5.20315158,5684.0,0.9574,1.0258
TOI-1181 b,17.02644168,6054.0,1.961,1.467
TOI-1516 b,15.24421375,6520.0,1.14,1.14
TOI-2046 b,16.14093221,6250.0,1.21,1.13
WASP-132 c,1.841,4686.0,0.758,0.789
Gaia-1 b,13.77583728,5470.0,0.952,0.949
