pl_name,pl_rade,st_teff,st_rad,st_mass
K2-386 b,2.32,5749.0,0.97,0.911
Kepler-774 b,3.17,6403.0,2.42,1.57
Kepler-772 b,1.82,5714.0,1.11,0.98
K2-268 d,1.49,5106.0,0.78,0.84
K2-268 f,2.23,5106.0,0.78,0.84
K2-268 e,1.33,5106.0,0.78,0.84
K2-393 b,2.352,5678.0,1.071,0.881
K2-394 b,1.692,4938.0,0.631,0.478
Kepler-770 b,2.3,5598.0,0.92,0.94
55 Cnc e,1.875,5172.0,0.943,0.905
CoRoT-10 b,10.87,5075.0,0.79,0.89
CoRoT-11 b,16.03,6440.0,1.37,1.27
CoRoT-12 b,16.14,5675.0,1.116,1.078
CoRoT-13 b,9.92,5945.0,1.01,1.09
CoRoT-14 b,12.22,6035.0,1.21,1.13
CoRoT-17 b,11.43,5740.0,1.59,1.04
CoRoT-18 b,14.68,5440.0,1.0,0.95
CoRoT-19 b,14.46,6090.0,1.65,1.21
CoRoT-1 b,16.7,5950.0,1.11,0.95
CoRoT-23 b,11.77,5900.0,1.61,1.14
CoRoT-2 b,16.432,5625.0,0.906,0.96
CoRoT-3 b,11.32,6740.0,1.56,1.37
CoRoT-4 b,13.34,6190.0,1.17,1.16
CoRoT-5 b,15.558,6100.0,1.186,1.0
CoRoT-6 b,13.068,6090.0,1.025,1.05
CoRoT-7 b,1.68135,5275.0,0.83,0.82
Kepler-24 c,2.514,6028.0,1.099,1.06
CoRoT-8 b,6.39,5080.0,0.77,0.88
CoRoT-9 b,11.948794,5625.0,0.96,0.96
GJ 1214 b,2.733,3101.0,0.2162,0.182
HAT-P-12 b,10.749,4650.0,0.701,0.733
HAT-P-14 b,15.91678,6600.0,1.82,2.65
HAT-P-15 b,11.88154,5568.0,1.07,1.0
HAT-P-17 b,11.76945,5246.0,0.87,0.99
Kepler-769 b,2.92,6186.0,1.28,1.19
HAT-P-18 b,11.153,4803.0,0.749,0.77
HAT-P-19 b,11.29865255,4962.0,0.773,0.807
HAT-P-1 b,14.784671,5980.0,1.174,1.151
HAT-P-20 b,9.718,4595.0,0.694,0.756
HAT-P-21 b,12.44199,5588.0,1.21,1.24
HAT-P-22 b,12.89035,5302.0,1.11,1.13
HAT-P-23 b,15.334,5905.0,1.203,1.13
HAT-P-24 b,14.5717,6373.0,1.38,1.37
HAT-P-25 b,12.722215,5519.0,0.919,1.012
HAT-P-26 b,7.06167,5079.0,0.87,1.12
HAT-P-27 b,11.43,5316.0,0.864673,0.916
HAT-P-28 b,13.585,5680.0,1.103,1.025
HAT-P-29 b,13.11453,6087.0,1.3,1.45
HAT-P-30 b,16.14096,6304.0,1.31,1.55
HAT-P-31 b,12.21781,6065.0,1.39,1.31
HAT-P-32 b,22.19382,6001.0,1.367,1.132
